experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct
hamming_sweep,depth,,0,0.0625,1,7ca6,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fca7,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fca4,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,bca6,fca6,True,11,correct,0,True
hamming_sweep,depth,,0,0.0625,1,f8a6,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fea6,fca6,True,5,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fc86,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,f4a6,fca6,True,7,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fcb6,fca6,True,5,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fca2,fca6,True,6,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fea6,fca6,True,5,correct,0,True
hamming_sweep,depth,,0,0.0625,1,f4a6,fca6,True,7,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fc86,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fea6,fca6,True,5,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fca2,fca6,True,6,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fda6,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fca7,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fce6,fca6,True,6,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fca2,fca6,True,6,correct,0,True
hamming_sweep,depth,,0,0.0625,1,7ca6,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fca2,fca6,True,6,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fca4,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,eca6,fca6,True,7,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fea6,fca6,True,5,correct,0,True
hamming_sweep,depth,,0,0.0625,1,f8a6,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,eca6,fca6,True,7,correct,0,True
hamming_sweep,depth,,0,0.0625,1,bca6,fca6,True,11,correct,0,True
hamming_sweep,depth,,0,0.0625,1,f4a6,fca6,True,7,correct,0,True
hamming_sweep,depth,,0,0.0625,1,eca6,fca6,True,7,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fcb6,fca6,True,5,correct,0,True
hamming_sweep,depth,,0,0.0625,1,dca6,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fca7,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fcae,fca6,True,6,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fcae,fca6,True,6,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fca7,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,7ca6,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fea6,fca6,True,5,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fc26,fca6,True,9,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fda6,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fca7,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fcae,fca6,True,6,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fda6,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,7ca6,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,dca6,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fce6,fca6,True,6,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fcb6,fca6,True,5,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fca4,fca6,True,4,correct,0,True
hamming_sweep,depth,,0,0.0625,1,eca6,fca6,True,7,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fc26,fca6,True,9,correct,0,True
hamming_sweep,depth,,0,0.0625,1,fcb6,fca6,True,5,correct,0,True
hamming_sweep,depth,,1,0.0625,1,1395,b95,False,740,oscillated,-1,False
hamming_sweep,depth,,1,0.0625,1,b95,1395,False,740,oscillated,-1,False
hamming_sweep,depth,,1,0.0625,1,1bb5,58a4,True,21,spurious,-1,False
